"fit.cluster","Alcohol","Malic","Ash","Alcalinity","Magnesium","Phenols","Flavanoids","Nonflavanoids","Proanthocyanins","Color","Hue","Dilution","Proline","Comp.1","Comp.2","Comp.3"
3,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3,1035,0.668481993754187,0.169960940619877,0.783362548061145
3,13.88,1.89,2.59,15,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,3.07080699041201,1.15591895660988,0.312758083934156
2,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3,680,0.462209137516008,0.330742132192276,0.201476496256771
3,13.05,1.77,2.1,17,107,3,3,0.28,2.03,5.04,0.88,3.35,885,2.10135193053802,-0.0710089209540661,0.655849415043434
3,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,1.13616617756102,1.77710739297764,-0.0287057357847517
3,14.38,3.59,2.28,16,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,2.7266009636408,1.19133469195718,0.539773261147674
3,13.9,1.68,2.12,16,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,2.82133927419225,0.646258599141704,1.15555241072741
3,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,2.00985085091236,1.24702946067876,0.0572939879399245
3,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,2.70749130426639,1.75196740720634,0.643113612000797
3,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,3.21491747477382,0.166991994996792,1.97357167990137
3,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,2.85895982671729,0.74527880398959,-0.00471950216469424
3,13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,3.50560435592322,1.61273385603501,0.520774530076177
3,13.77,1.9,2.68,17.1,115,3,2.79,0.39,1.68,6.3,1.13,2.93,1375,2.22479138053217,1.87516799956303,-0.339549850354207
3,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,2.14698782356387,1.01675153775766,0.957762761950327
3,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,2.46932948379779,1.32900831064962,-0.513437453035969
3,14.22,1.7,2.3,16.3,118,3.2,3,0.26,2.03,6.38,0.94,3.31,970,2.74151791427745,1.43654878351251,0.612473395716959
3,13.29,1.97,2.68,16.8,102,3,3.23,0.31,1.66,6,1.07,2.84,1270,2.17374092096531,1.21219984069779,-0.261779592770788
3,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,3.139380151829,1.73157911599251,0.285661412616451
2,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,-0.928581968921854,-3.07348616318893,4.5850640071482
2,12.33,1.1,2.28,16,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,-1.54248013789688,-1.38144350809423,0.874683112445808
1,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,-1.83624976346694,-0.829984123055718,1.60570218632062
2,13.67,1.25,1.92,18,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,0.0306068340866797,-1.2627861442114,1.78440801041885
2,12.37,1.13,2.16,19,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,2.05026160757632,-1.9250326046501,0.00736877734981747
2,12.17,1.45,2.53,19,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,-0.609680827177623,-1.90805880508519,-0.679357937977538
2,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,0.900227838707143,-0.763911473609608,-0.573361302097191
2,13.11,1.01,1.7,15,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,2.24850719079839,-1.88459248455013,2.03184019286759
2,12.37,1.17,1.92,19.6,78,2.11,2,0.27,1.04,4.68,1.12,3.48,510,0.183384026684756,-2.42714611470357,1.0697455602478
1,13.34,0.94,2.36,17,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,-0.812805027352072,-0.220513986902269,0.707005395800966
2,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,1.97562049879855,-1.40328322530961,1.23827621968486
1,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,-1.5722162196263,-0.884983136908221,0.628997950231592
2,13.86,1.51,2.67,25,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,1.65768180883329,-0.956712197459148,-1.9525842166062
2,13.49,1.66,2.24,24,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,-0.725372388035355,-1.06364540070609,-0.080332228615437
3,12.99,1.67,2.6,30,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,2.56222717317036,0.260198550654599,-3.37439396223976
2,11.96,1.09,2.3,21,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,1.83256757004955,-1.28787819786052,-0.45828002739956
2,11.66,1.88,1.92,16,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,-0.867992903195412,-2.44410118558086,1.56333317895038
2,13.03,0.9,1.71,16,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,0.370014404294783,-2.15390697515699,2.44938634830374
2,11.84,2.89,2.23,18,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,-1.45737704490614,-1.38335176907626,0.227306902327301
2,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,1.2629308497285,-0.770849529970116,1.18422451737524
2,12.7,3.87,2.4,23,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,0.376150371934242,-1.02704340335582,-1.79446629454266
2,12,0.92,2,19,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,0.762063904109599,-3.37505380996353,0.357470055539463
2,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,1.03457796716519,-1.45070973824409,0.363011773163961
2,12.08,1.13,2.51,24,78,2,1.58,0.4,1.4,2.2,1.31,2.72,630,-0.494876755680327,-2.38124352676737,-1.33574317628487
1,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,-2.53897708429512,-0.0874433573049815,-0.474251392769147
2,11.84,0.89,2.58,18,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,0.835320145394298,-1.47367055140087,-0.610093575692107
2,12.67,0.98,2.24,18,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,0.78790461498971,-2.02662652246248,0.254723403969549
2,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,-0.806832155965538,-2.23383039084391,-0.772855797198265
2,11.65,1.67,2.62,26,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,-0.558042624875681,-2.37298542884945,-2.307611404012
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1,2.75,680,-1.11511104191945,-1.80224719166545,-0.959253307688655
2,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,-0.555722829951701,-2.65754003539229,-0.849126897743225
2,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,-1.34928528244373,-2.11800146978482,0.0476523208486919
2,12,1.51,2.42,22,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,-1.56448260571991,-1.85221452176555,-0.781067030934632
2,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,-1.93255561063146,-1.55949545689862,0.0892746761086789
2,12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,0.74666594198845,-2.31293170922074,-0.114679768745417
2,11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,0.957455363803642,-2.22352843466746,-0.142444773698728
3,12.47,1.52,2.2,19,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,2.54386518419955,0.169274022799743,-0.788696990745482
2,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,-0.543952588776228,-0.368926545877315,-1.30889593185686
2,12.29,1.41,1.98,16,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,1.03104975038815,-2.56556934873352,1.08639017381774
2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,2.25190942214812,-1.43274138035425,0.230208243797815
2,12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,1.41021601533746,-2.16619176937038,-0.74889641077088
2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,0.797719792693042,-2.37694880308186,1.56811253127552
2,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,-0.549531726649464,-2.29312864324563,1.49893532320108
2,12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,-0.161173739948544,-1.16448332156002,-1.00371310283736
2,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,-0.659794941684359,-2.67996118598963,0.764920868479512
2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,0.392354408185083,-2.09873170876554,0.471850007609737
2,12.42,2.55,2.27,22,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,-1.77249907796003,-1.71728846937614,-0.947033174460867
2,12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,3.4,1,3.17,510,-0.366267357352064,-2.16935329782928,0.48132423474229
2,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,-1.62067257278748,-1.35558338802596,-0.287159000695617
2,12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,0.0825357834933286,-2.30623458774832,0.463574989373952
2,11.61,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,1.57827507093238,-1.46203429020482,-1.77964595473328
2,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,1.42056924782402,-1.41820663763375,-0.139275829488195
2,12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.9,2.78,325,-0.278702753648853,-1.93056808867047,-0.0786705530472355
2,11.76,2.68,2.92,20,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,-1.30314496624828,-0.76317231365779,-1.99959651048686
2,11.41,0.74,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,-0.457071865652624,-2.26941560758967,-1.06133896759267
2,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,-0.494185847044374,-1.93904504948683,-1.32393807237669
2,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,0.482074409773094,-3.87178384840724,-1.34427122339307
2,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,-0.252888877653199,-2.82149237470159,0.302639784530638
2,12.42,1.61,2.19,22.5,108,2,2.09,0.34,1.61,2.06,1.06,2.96,345,-0.107227637729123,-1.92892204256696,-0.690148242507515
1,12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,-2.43301260255022,-1.25714104049439,1.90302740441135
2,12,3.43,2,19,87,2,1.64,0.37,1.87,1.28,0.93,3.05,564,-0.551089539174649,-2.22216155077662,0.356228830212533
2,11.45,2.4,2.42,20,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,0.739621928568223,-1.40895666736571,-1.12534549200424
2,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465,1.33632173341833,0.253336931168306,-5.34538817919574
2,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,-1.17708699624777,-0.66396683980157,-3.01022188794643
2,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,-0.462335008019677,-0.618288179485041,-0.483442366344183
2,11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,0.97847407935665,-1.44557049889583,-1.48123697499595
2,12.07,2.16,2.17,21,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,-0.0968097263159843,-2.10999799313522,-0.43482611561679
2,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,0.0384871459490262,-1.26676210915788,-0.687577912872809
2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3,0.97,2.44,466,-1.59715850120747,-1.20814357412848,-3.36117555538643
2,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,-0.479564916083124,-1.93884066039405,-1.29650751882967
2,12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,-1.79283347303114,-1.1502881044421,-0.782800173182266
1,12.86,1.35,2.32,18,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,-1.3271016561416,0.170389232049028,1.18001335530948
1,12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,-2.38450083474353,0.374582605524694,0.723822594811661
1,12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,-2.93694010214661,0.263861830068381,0.16763981598372
1,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5,0.78,1.29,600,-2.14681113381606,0.368254951886462,0.453301301469184
1,12.51,1.24,2.25,17.5,85,2,0.58,0.6,1.25,5.45,0.75,1.51,650,-2.36986948833304,-0.459634809231166,1.10139978859206
1,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,-3.06384156872035,0.353412835458403,1.09912410411534
1,12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,-3.91575378371189,0.154582519441733,-0.221827799841048
1,12.53,5.51,2.64,25,96,1.79,0.6,0.63,1.1,5,0.82,1.69,515,-3.93646339071596,0.659687233409783,-1.71221541921454
1,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,-3.09427611776228,0.348842759273796,1.02683141342245
1,12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,-2.37447162800692,0.291980351559995,-1.24191433283056
1,12.93,2.81,2.7,21,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,-2.77881294763251,0.286804872882175,-0.609670123972373
1,13.36,2.56,2.35,20,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,-2.28656128473847,0.372507844685299,0.971643032360854
1,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,-2.98563348744947,0.489217908347013,-0.946952931799971
1,13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550,-2.37519469822711,0.482333717244878,0.252883994053333
1,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2,855,-2.20986552559587,1.16005250415764,1.24512522592106
1,13.16,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,-2.62562100469272,0.563160764210835,0.855961081803375
1,13.88,5.04,2.23,20,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,-4.28063877875109,0.649670964023706,1.45819696163857
1,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,-3.5826413720011,1.2727027497273,0.110784037624727
1,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,-2.80706372008166,1.5705337870412,0.472527934572087
1,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,-2.89965933302391,2.04105700793846,0.495959810235092
1,13.5,3.12,2.62,24,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,-2.3207369765492,2.35636607555667,-0.437681743618764
1,12.79,2.67,2.48,22,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,-2.54983094722614,2.04528309101952,0.31226799865093
1,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,-1.8125412848423,1.52764594626875,-1.36258978158787
1,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,-2.76014464192395,2.13893234764261,0.96462868820068
1,12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,-2.73715050066799,0.40988627088179,1.19040468396698
1,13.17,5.19,2.32,22,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,-3.60486886818342,1.80238421758397,0.0940368613359725
1,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,-2.88982599687351,1.92521861313034,0.782322555508449
1,12.45,3.03,2.64,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,-3.39215607683572,1.3118763884736,-1.60202596890002
1,14.34,1.68,2.7,25,98,2.8,1.31,0.53,2.7,13,0.57,1.96,660,-1.04818189685368,3.51508969121973,-1.16003856591322
1,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,-1.60991228284794,2.40663815957433,-0.548559697240707
1,12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,-3.14313096674397,0.738161044175797,0.090998723922223
1,13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,-2.24015689626954,1.17546528811886,0.101376932496121
1,12.85,3.27,2.58,22,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,-2.84767377611952,0.556043965882674,-0.80421521810103
1,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,-2.59749705664876,0.69796553720092,0.884939521130631
1,13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,-2.94929937313484,1.55530896428398,0.983400727224942
1,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,-3.53003226634931,0.882526796204236,0.466029127778539
1,13.45,3.7,2.6,23,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,-2.40611054047855,2.5923561750424,-0.428226210799578
1,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,-2.92908472696745,1.27444694790448,1.21335827150515
1,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,-2.18141277881262,2.07753731273452,-0.763782551558119
1,13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,-2.38092778713564,2.58866743241859,-1.41804402949681
1,12.2,3.03,2.32,19,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,-3.21161721504125,-0.251249104425592,0.847129152128499
1,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,-3.67791872097382,0.847747844149762,1.33942023108552
1,14.16,2.51,2.48,20,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,-2.46555579804045,2.19379830365409,0.918780960426492
1,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,-3.37052414544286,2.21628913986114,0.342569512414323
1,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,-2.60195585122474,1.75722935097927,-0.207581354981252
1,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,-2.6778394608645,2.76089913167454,0.940941876676993
1,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,-2.38701709127972,2.29734667971282,0.550696197011086
1,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,-3.20875816419802,2.76891956604757,-1.01391366411311
